in_real,in_imag,out_real,out_imag
0.0008694933851442644,0.00265274445601518,-0.17157222254632798,0.15471937932621094
0.0002081804841079193,0.00456169147936145,-0.35212652978921005,0.17175930086780972
-0.0007025838712200633,0.006111733130489308,-0.5136316563205253,0.15640546325834304
-0.001677394114653154,0.007064943258101416,-0.631237180794424,0.11484120264694897
-0.002493920679273549,0.007228250492377493,-0.6814385309069055,0.05787605676787099
-0.002942419289538081,0.006489475210527514,-0.6468344810376273,-0.0018229589519035971
-0.002881697401683856,0.004831758384403519,-0.5195515479572226,-0.05334078924892929
-0.002248403159366541,0.002351450953188097,-0.3028979529380665,-0.08816924747769372
-0.001064582341444479,-0.0007560921023848762,-0.009261858415630273,-0.10105908967695143
0.0005793284851666337,-0.004218658998727427,0.3301260570246877,-0.08903310269342816
0.002548661353153933,-0.007722234937475117,0.6876602752205454,-0.05323738386454595
0.004683030809110542,-0.01096557258059641,1.0311424678844918,0.0016391319209369693
0.006820185268710571,-0.01366792840918984,1.330577267219061,0.07488055958997067
0.008804518477567191,-0.01559654786286387,1.5575181791770518,0.16288730487612135
0.01048569365121303,-0.01657696396583107,1.6947897880529754,0.259635580827035
0.01171307456531343,-0.01650335892763844,1.736791571337138,0.35688886703534806
0.01234665509667464,-0.01535936560481605,1.6823802901920002,0.44521237012376735
0.01227174234725318,-0.01321251413536662,1.5284293680426009,0.5145008670428264
0.01141477846909273,-0.0102119305510509,1.273837428455575,0.553750177260345
0.009752764427958117,-0.006574422732150434,0.9295204123002782,0.551823483363669
0.007328353353961319,-0.002567014814559376,0.5216517383346599,0.5011085949259347
0.004263713969794653,0.001515540159416575,0.0808339055272413,0.4002099756053592
0.000742958929359986,0.005378356835247237,-0.3648440746119257,0.25209861773934567
-0.00300723849175761,0.008749562761398225,-0.7789436416611106,0.06657718748515189
-0.006741875092245377,0.01140432251604885,-1.1341305285728702,-0.13904432850195397
-0.01022339528797673,0.0131825072995351,-1.4065462287732722,-0.3540597025201373
-0.0132386237016902,0.01399039992192494,-1.577546392511889,-0.5643391874701009
-0.01561452666717244,0.01381565580378333,-1.644637145503795,-0.7568404931072623
-0.01722349557050154,0.01272744383041589,-1.617705605433422,-0.9213523494984601
-0.01800110718909013,0.01087684960114613,-1.5099415925410495,-1.0502728182909333
-0.01795393691203381,0.008480227108280745,-1.3338377566656592,-1.1372822851193805
-0.01713891917954559,0.005778992840437773,-1.1029384410884924,-1.1765850173184131
-0.01566772294645733,0.003031937694467987,-0.8368300222716399,-1.1648482464006857
-0.01369263370631763,0.0004882918795370507,-0.5611736487610217,-1.1032148501307022
-0.01139732724976312,-0.001633292248529147,-0.30303889492972585,-0.9981077636212311
-0.008985232117923472,-0.003160535368559552,-0.08628365919629419,-0.860321612363423
-0.006658236228257207,-0.003975041509292043,0.07078477037854015,-0.7027525591197054
-0.004587076388700005,-0.004035379711950044,0.15761157026916603,-0.538215035608146
-0.002908296561092473,-0.003370383102273592,0.17091586788681087,-0.37895511588138414
-0.001716724452368155,-0.002079126973664929,0.11422944595288223,-0.2359987338474409
-0.001064234580891929,-0.000319112212123529,-0.0027062885098671032,-0.11846974432550579
-0.0009644707121732287,0.001725910819306939,-0.1619694834056948,-0.0340709988404184
-0.001379548105258381,0.003840244956552066,-0.34786373787062025,0.010411698659453614
-0.002233971141988845,0.005803006418373323,-0.5385942883083095,0.014850688602528857
-0.003423249183077673,0.007403210297910455,-0.7128164163325911,-0.02023955686558772
-0.004825044326010519,0.008456816244722533,-0.8518600240925898,-0.09185837028715882
-0.006313683418590126,0.008832255418356517,-0.9400776289964641,-0.1947776264228283
-0.007764161101241916,0.008455684590937278,-0.9665961925820629,-0.32192837804555186
